SampleID;PlantID;Management;Medium;Organ;BacterialClass;Count
Wild_Natural_Soil_P1;P1;Wild;Natural;Soil;Bacilli;1
Wild_Natural_Soil_P2;P2;Wild;Natural;Soil;Bacilli;1
Wild_Natural_Soil_P3;P3;Wild;Natural;Soil;Bacilli;0
Wild_Natural_Soil_P4;P4;Wild;Natural;Soil;Bacilli;0
Wild_Natural_Soil_P5;P5;Wild;Natural;Soil;Bacilli;1
Wild_Natural_Soil_P1;P1;Wild;Natural;Soil;Alphaproteobacteria;0
Wild_Natural_Soil_P2;P2;Wild;Natural;Soil;Alphaproteobacteria;0
Wild_Natural_Soil_P3;P3;Wild;Natural;Soil;Alphaproteobacteria;0
Wild_Natural_Soil_P4;P4;Wild;Natural;Soil;Alphaproteobacteria;0
Wild_Natural_Soil_P5;P5;Wild;Natural;Soil;Alphaproteobacteria;1
Organic_Commercial_Leaf_P1;P1;Organic;Commercial;Leaf;Actinomycetia;2
Organic_Commercial_Leaf_P2;P2;Organic;Commercial;Leaf;Actinomycetia;1
Organic_Commercial_Leaf_P3;P3;Organic;Commercial;Leaf;Actinomycetia;1
Organic_Commercial_Leaf_P4;P4;Organic;Commercial;Leaf;Actinomycetia;1
Organic_Commercial_Leaf_P5;P5;Organic;Commercial;Leaf;Actinomycetia;4
Organic_Commercial_Leaf_P1;P1;Organic;Commercial;Leaf;Bacilli;3
Organic_Commercial_Leaf_P2;P2;Organic;Commercial;Leaf;Bacilli;8
Organic_Commercial_Leaf_P3;P3;Organic;Commercial;Leaf;Bacilli;4
Organic_Commercial_Leaf_P4;P4;Organic;Commercial;Leaf;Bacilli;5
Organic_Commercial_Leaf_P5;P5;Organic;Commercial;Leaf;Bacilli;13
Organic_Commercial_Leaf_P1;P1;Organic;Commercial;Leaf;Alphaproteobacteria;0
Organic_Commercial_Leaf_P2;P2;Organic;Commercial;Leaf;Alphaproteobacteria;0
Organic_Commercial_Leaf_P3;P3;Organic;Commercial;Leaf;Alphaproteobacteria;1
Organic_Commercial_Leaf_P4;P4;Organic;Commercial;Leaf;Alphaproteobacteria;0
Organic_Commercial_Leaf_P5;P5;Organic;Commercial;Leaf;Alphaproteobacteria;1
Organic_Commercial_Leaf_P1;P1;Organic;Commercial;Leaf;Gammaproteobacteria;2
Organic_Commercial_Leaf_P2;P2;Organic;Commercial;Leaf;Gammaproteobacteria;6
Organic_Commercial_Leaf_P3;P3;Organic;Commercial;Leaf;Gammaproteobacteria;2
Organic_Commercial_Leaf_P4;P4;Organic;Commercial;Leaf;Gammaproteobacteria;4
Organic_Commercial_Leaf_P5;P5;Organic;Commercial;Leaf;Gammaproteobacteria;3
Organic_Natural_Leaf_P1;P1;Organic;Natural;Leaf;Gammaproteobacteria;1
Organic_Natural_Leaf_P2;P2;Organic;Natural;Leaf;Gammaproteobacteria;0
Organic_Natural_Leaf_P3;P3;Organic;Natural;Leaf;Gammaproteobacteria;1
Organic_Natural_Leaf_P4;P4;Organic;Natural;Leaf;Gammaproteobacteria;1
Organic_Natural_Leaf_P5;P5;Organic;Natural;Leaf;Gammaproteobacteria;0
Organic_Natural_Leaf_P1;P1;Organic;Natural;Leaf;Bacilli;2
Organic_Natural_Leaf_P2;P2;Organic;Natural;Leaf;Bacilli;1
Organic_Natural_Leaf_P3;P3;Organic;Natural;Leaf;Bacilli;1
Organic_Natural_Leaf_P4;P4;Organic;Natural;Leaf;Bacilli;1
Organic_Natural_Leaf_P5;P5;Organic;Natural;Leaf;Bacilli;2
Organic_Natural_Leaf_P1;P1;Organic;Natural;Leaf;Actinomycetia;1
Organic_Natural_Leaf_P2;P2;Organic;Natural;Leaf;Actinomycetia;0
Organic_Natural_Leaf_P3;P3;Organic;Natural;Leaf;Actinomycetia;0
Organic_Natural_Leaf_P4;P4;Organic;Natural;Leaf;Actinomycetia;0
Organic_Natural_Leaf_P5;P5;Organic;Natural;Leaf;Actinomycetia;0
